FAC_NAME,DISTRICT,FACILITY,PHONE,BOX_NO,FAX,DIST_DHO,TIME,X,Y,CO_ORDINAT,NEAR_FAC,DATE_APPR,ROAD,NO_BED,OCCUP_RATE,DAT_CONSTR,FUNDEDBY,OWNER,POPULATION,NO_OP,NO_BIRTH_,PLAN_DHO,PLAN_MOW,DONATION,PERC_DONA,BUDG_APPRO,BUDG_ACT,COST_ACT,DIFFER_BY,REVENUE,FACODE,OBJECTID,IFDCMAP,LATITUDE,LONGITUDE,BUSI_DESCR,BUSI_NAME,ADDRESS,TA_VILLAGE,EPA,ID_ACC,POINTID
NKHWAZI,MCHINJI,DISPENSARY/MATERNITY,,PA NKHAZI,,"43",50min,33.230278,-13.918056,13 55 05 - 33 13,,1998/03/05,TAR/DIRT - FAIR,"9","11","1981",MOH,MOH,"20000","24000","114","0","1",,"0",0.00,0.00,0.00,,0.00,"220","0",,0.00000000000,0.00000000000,,,,,,"19","19"
PEKHANI,MCHINJI,DISPENSARY,,BOX 36 MAGOWA,,"18",15min,33.041667,-13.825000,13 49 30 - 33 02,,1998/03/03,TAR - GOOD,"0","0","1996",PRIVATE,PVT,"0","10000","0","0","0",,"0",0.00,0.00,0.00,,10000.00,"221","0",,0.00000000000,0.00000000000,,,,,,"20","20"
SEMEMA,MCHINJI,DISPENSARY,,BOX 135 MCHINJI,,"42",1hr 5min,33.195833,-13.729167,13 43 45 - 33 11,,1998/03/05,TAR/DIRT - GOOD,"0","0","1997",PRIVATE,PVT,"1500","1200","0","0","0",,"0",0.00,0.00,0.00,,0.00,"222","0",,0.00000000000,0.00000000000,,,,,,"21","21"
TEMBWE,MCHINJI,DISPENSARY,,BOX 22 THEMBWE,,"26",42min,33.185556,-13.798333,13 47 54 - 33 11,,1998/03/03,TAR/DIRT - GOOD,"0","0",,MOH,MOH,"26073","12000","0","0","1",,"0",0.00,0.00,0.00,,0.00,"223","0",,0.00000000000,0.00000000000,,,,,,"22","22"
TIYAMIKE,MCHINJI,DISPENSARY,,BOX 135 MCHINJI,,"34",40min,33.130556,-13.851389,13 51 05 - 33 07,,1998/03/05,TAR - GOOD,"0","0","1997",PRIVATE,PVT,"0","5200","0","0","0",,"0",0.00,0.00,0.00,,200000.00,"224","0",,0.00000000000,0.00000000000,,,,,,"23","23"
CHINTHEMBWE,NTCHISI,DISPENSARY/MATERNITY,,PA CHINTHEMBWE,,"20.4",38min,33.908330,-13.428889,13 25 44 - 33 54,,1998/03/26,DIRT - POOR,"5","40","1987",EUROPEAN UNION,CHAM,"9181","11649","540","1","1",,"0",0.00,0.00,0.00,,48000.00,"286","0",,0.00000000000,0.00000000000,,,,,,"24","24"
CHINGULU,NTCHISI,DISPENSARY/MATERNITY,,BOX 119 CHINGULU,,"18.3",32min,33.878611,-13.271111,13 16 16 - 33 52,,1998/03/24,DIRT - POOR,"6","0","1995",AFRICAN DEV. BANK,MOH,"15250","0","0","0","1",,"0",0.00,0.00,0.00,,0.00,"287","0",,0.00000000000,0.00000000000,,,,,,"25","25"
KAOMBE,NTCHISI,DISPENSARY,,BOX 41 NTCHISI,,"22",43min,33.944167,-13.270000,13 16 12 - 33 56,,1998/03/24,DIRT - POOR,"3","0","1984",FORESTRY,FORESTRY,"0","3456","0","0","0",,"0",0.00,0.00,0.00,,0.00,"288","0",,0.00000000000,0.00000000000,,,,,,"26","26"
KANGOLWA,NTCHISI,DISPENSARY/MATERNITY,,BOX 64 MWASAMBO,,"41",1hr 7min,34.070278,-13.370278,13 22 13 - 34 04,,1998/03/23,DIRT - POOR,"4","0","1994",AFRICAN DEV. BANK,MOH,"22000","0","0","0","1",,"0",0.00,0.00,0.00,,0.00,"289","0",,0.00000000000,0.00000000000,,,,,,"27","27"
KAMSONGA,NTCHISI,DISPENSARY/MATERNITY,,PA KAMSONGA,,"18",28min,33.793889,-13.273333,13 16 24 - 33 47,,1998/03/24,DIRT - POOR,"8","0","1984",MOH,MOH/LG,"10649","26052","192","0","1",,"0",0.00,0.00,0.00,,18000.00,"290","0",,0.00000000000,0.00000000000,,,,,,"28","28"
KHUWI,NTCHISI,DISPENSARY/MATERNITY,,BOX 28 NTCHISI,,"16.5",20min,33.837778,-13.435833,13 26 09 - 33 50,,1998/03/24,DIRT - POOR,"8","0","1985",MOH,MOH/LG,"18117","23979","143","0","1",,"0",0.00,0.00,0.00,,0.00,"291","0",,0.00000000000,0.00000000000,,,,,,"29","29"
MALOMO,NTCHISI,DISPENSARY/MATERNITY,,PO MALOMO,,"30",38min,33.837500,-13.148611,13 08 55 - 33 50,,1998/03/24,DIRT - POOR,"8","0",,MOH,MOH/LG,"0","34461","638","0","1",,"0",0.00,0.00,0.00,,3720.00,"292","0",,0.00000000000,0.00000000000,,,,,,"30","30"
MKHUZI,NTCHISI,DISPENSARY/MATERNITY,,BOX 117 MKHUZI,,"33.5",42min,33.762778,-13.370000,13 22 12 - 33 45,,1998/03/24,DIRT - FAIR,"4","25","1985",MOH,MOH,"0","0","76","0","1",,"0",0.00,0.00,0.00,,0.00,"293","0",,0.00000000000,0.00000000000,,,,,,"31","31"
MPHERERE,NTCHISI,DISPENSARY/MATERNITY,,BOX 4 NTCHISI,,"3",5min,33.918889,-13.365833,13 21 57 - 33 55,"3",1998/03/26,DIRT - POOR,"35","17","1963",CSC,CHAM,"92000","5927","151","1","1",,"0",0.00,0.00,0.00,,12000.00,"294","0",,0.00000000000,0.00000000000,,,,,,"32","32"
MZANDU,NTCHISI,DISPENSARY/MATERNITY,,PA CHINTHEMBWE,,"35",58min,34.028333,-13.487500,13 29 15 - 34 01,,1998/03/23,DIRT - POOR,"8","37","1995",AFRICAN DEV. BANK,MOH,"18000","18000","180","0","1",,"0",0.00,0.00,0.00,,0.00,"295","0",,0.00000000000,0.00000000000,,,,,,"33","33"
DWANGWA BLM,NKHOTAKOTA,DISPENSARY,,BOX DWANGWA,,"72.4",48min,34.112222,-12.509722,12 30 35 - 34 06,,1998/04/10,TAR - GOOD,"0","0","1998",BRITISH GOVT,BLM,"20000","15600","0","0","0",,"0",0.01,120000.00,0.00,,100000.00,"297","0",,0.00000000000,0.00000000000,,,,,,"34","34"
BENGA,NKHOTAKOTA,DISPENSARY/MATERNITY,,BOX 12 BENGA,,"58.6",40min,34.281111,-13.359722,13 21 35 - 34 16,"13",1998/04/09,TAR - GOOD,"5","100","1973",GERMAN GOVT/SADD,MOH,"10000","11003","384","0","1",,"0",0.00,0.00,0.00,,0.00,"298","0",,0.00000000000,0.00000000000,,,,,,"35","35"
BUA,NKHOTAKOTA,DISPENSARY,,BOX 28 NKHOTAKOTA,,"21.3",20min,34.172778,-12.600000,12 36 00 - 34 10,,1998/04/11,TAR - GOOD,"0","0","1993",SALIMA ADD,MOH,"12565","26000","0","0","1",,"0",0.00,0.00,0.00,,0.00,"299","0",,0.00000000000,0.00000000000,,,,,,"36","36"
CENTRAL 3 DWANGWA,NKHOTAKOTA,DISPENSARY,,BOX 46 DWANGWA,,"72.4",48min,34.129444,-12.503333,12 30 12 - 34 07,,1998/04/10,TAR - GOOD,"0","0",,DWANGWA,PVT,"0","0","0","0","0",,"0",0.00,0.00,0.00,,0.00,"300","0",,0.00000000000,0.00000000000,,,,,,"37","37"
CHIDIDI,NKHOTAKOTA,DISPENSARY/MATERNITY,,BOX 41 SANI,,"21.4",31min,34.311389,-13.083889,13 05 02 - 34 18,"4",1998/04/09,TAR/DIRT POOR,"12","0","1960",EUROPEAN UNION,CHAM,"0","7800","1300","0","0",,"0",0.00,0.00,0.00,,0.00,"301","0",,0.00000000000,0.00000000000,,,,,,"38","38"
DWAMBAZI,NKHOTAKOTA,PRIMARY HEALTH CENTRE,,BOX 14 DWAMBAZI,,"101.3",1hr 20min,33.991389,-12.236389,12 14 11 - 33 59,,1998/04/08,TAR - GOOD,"19","100","1972",MOH,MOH,"21000","33417","228","0","0",,"0",0.00,0.00,0.00,,0.00,"302","0",,0.00000000000,0.00000000000,,,,,,"39","39"
KAPIRI,NKHOTAKOTA,DISPENSARY/MATERNITY,,BOX 15 CHIA,,"33.6",51min,34.310278,-13.216944,13 13 01 - 34 18,"10",1998/04/09,TAR - GOOD,"8","50","1996",EUROPEAN UNION,CHAM,"0","7800","500","0","0",,"0",0.00,0.00,0.00,,12000.00,"303","0",,0.00000000000,0.00000000000,,,,,,"40","40"
KASASA,NKHOTAKOTA,DISPENSARY,"295468",BOX 46 DWANGWA,,"72.4",48min,34.116667,-12.525000,12 31 30 - 34 07,,1998/04/10,TAR/DIRT - GOOD,"0","0","1973",DWANGWA,PVT,"20000","52000","0","0","0",,"0",0.00,0.00,0.00,,0.00,"304","0",,0.00000000000,0.00000000000,,,,,,"41","41"
KASITU,NKHOTAKOTA,DISPENSARY/MATERNITY,,BOX 17 KASITU,,"89.3",1hr 14min,34.033333,-12.308333,12 18 30 - 34 02,"4",1998/04/10,TAR/DIRT - POOR,"0","0","1997",7 DAY ADVENTIST,CHAM,"0","0","0","0","0",,"0",0.00,0.00,0.00,,26375.00,"305","0",,0.00000000000,0.00000000000,,,,,,"42","42"
LIWALADZI,NKHOTAKOTA,DISPENSARY/MATERNITY,,BOX LIWALADZI,,"47.6",31min,34.178333,-12.616111,12 36 58 - 34 10,"10",1998/04/10,TAR - GOOD,"11","27","1996",EU & ANGLICAN CHURCH,CHAM,"1444","8072","180","0","0",,"0",0.00,0.00,0.00,,0.00,"306","0",,0.00000000000,0.00000000000,,,,,,"43","43"
MAZUNGA,NKHOTAKOTA,DISPENSARY,,BOX 150 DWANGWA,,"72.4",48min,34.112778,-12.507500,12 30 27 - 34 06,,1998/04/10,TAR - GOOD,"0","0","1994",PRIVATE,PVT,"0","10950","0","0","0",,"0",0.00,0.00,0.00,,0.00,"307","0",,0.00000000000,0.00000000000,,,,,,"44","44"
MPAMANDHA,NKHOTAKOTA,DISPENSARY,,BOX 10 NKHOTAKOTA,,"20",35min,34.258056,-13.061389,13 03 41 - 34 15,"4",1998/04/11,TAR/DIRT - GOOD,"0","0","1986",SADD,MOH,"15000","24000","0","0","1",,"0",0.00,0.00,0.00,,0.00,"308","0",,0.00000000000,0.00000000000,,,,,,"45","45"
MATIKA,NKHOTAKOTA,PRIMARY HEALTH CENTRE,"259265",BOX 46 DWANGWA,,"72.4",48min,34.154444,-12.498611,12 29 55 - 34 09,,1998/04/10,TAR/DIRT - GOOD,"34","9",,DWANGWA,PVT,"0","25000","1500","0","0",,"0",0.00,0.00,0.00,,0.00,"309","0",,0.00000000000,0.00000000000,,,,,,"46","46"
MTOSA,NKHOTAKOTA,DISPENSARY/MATERNITY,,BOX 14 BENGA,,"77.6",1hr 12min,34.277778,-13.362500,13 21 45 - 34 16,,1998/04/09,TAR/DIRT - POOR,"10","10","1993",AFRICAN DEV. BANK,MOH,"8124","18000","0","0","1",,"0",0.00,0.00,0.00,,0.00,"310","0",,0.00000000000,0.00000000000,,,,,,"47","47"
MWANSAMBO,NKHOTAKOTA,DISPENSARY/MATERNITY,"01933",BOX 16 MWAMSAMBO,,"66.9",1hr 18min,34.117778,-13.302500,13 18 09 - 34 07,"8",1998/04/09,TAR/DIRT - POOR,"9","155","1976",SADD,MOH,"24000","13920","320","0","1",,"0",0.00,0.00,0.00,,0.00,"311","0",,0.00000000000,0.00000000000,,,,,,"48","48"
NGALA,NKHOTAKOTA,DISPENSARY/MATERNITY,,BOX 11 KASITO,,"80",1hr,34.066944,-12.363611,12 21 49 - 34 04,,1998/04/08,TAR - GOOD,"8","25","1991",ADD,MOH,"0","0","0","0","1",,"0",0.00,0.00,0.00,,0.00,"312","0",,0.00000000000,0.00000000000,,,,,,"49","49"
NYAMVU,NKHOTAKOTA,DISPENSARY,,BOX 46 DWANGWA,,"72.4",48min,34.135556,-12.479167,12 28 45 - 34 08,,1998/04/08,TAR/DIRT - GOOD,"0","0",,DWANGWA,PVT,"0","0","0","0","0",,"0",0.00,0.00,0.00,,0.00,"314","0",,0.00000000000,0.00000000000,,,,,,"50","50"
NKHUNGA,NKHOTAKOTA,DISPENSARY/MATERNITY,"295377",BOX 22 DWANGWA,,"67",50min,34.113333,-12.471944,12 28 19 - 34 06,,1998/04/08,TAR - GOOD,"4","100",,CSC,MOH,"0","25000","375","0","1",,"0",0.00,0.00,0.00,,0.00,"315","0",,0.00000000000,0.00000000000,,,,,,"51","51"
SMALLHOLDERS SUGAR,NKHOTAKOTA,DISPENSARY/MATERNITY,"295208",BOX 49 DWANGWA,"295291","72.4",48min,34.134444,-12.521667,12 31 18 - 34 08,"1",1998/04/10,TAR/DIRT - GOOD,"0","0","1991",S/HOLDERS SUGAR AUTH,PVT,"0","37500","0","0","0",,"0",0.00,0.00,0.00,,0.00,"316","0",,0.00000000000,0.00000000000,,,,,,"52","52"
UKASI,NKHOTAKOTA,DISPENSARY,,BOX 46 DWANGWA,,"72.4",48min,34.161944,-12.528889,12 31 44 - 34 09,,1998/04/10,TAR/DIRT - GOOD,"0","0",,DWANGWA,PVT,"0","0","0","0","0",,"0",0.00,0.00,0.00,,0.00,"318","0",,0.00000000000,0.00000000000,,,,,,"53","53"
ACHIDYA,DEDZA,DISPENSARY,,BOX 206 DEDZA,,"26.5",26min,34.111111,-14.127778,14 07 40 - 34 06,"10",1998/05/01,TAR - FAIR,"0","0","1989",PRIVATE,PVT,"0","25000","276","0","0",,"0",0.00,0.00,0.00,,0.00,"319","0",,0.00000000000,0.00000000000,,,,,,"54","54"
BEMBEKE,DEDZA,DISPENSARY/MATERNITY,,BOX 339 DEDZA,,"15.6",21min,34.415278,-14.348611,14 20 55 - 34 24,,1998/05/01,TAR/DIRT - FAIR,"20","5",,CATHOLIC CHURCH,CHAM,"0","30000","250","0","0",,"0",0.00,0.00,0.00,,0.00,"320","0",,0.00000000000,0.00000000000,,,,,,"55","55"
CHIFUNDO,DEDZA,DISPENSARY,,BOX 43 LINTHIPE,,"42.1",39min,34.123611,-14.173611,14 10 25 - 34 07,,1998/05/01,TAR - FAIR,"0","0","1997",PRIVATE,PVT,"0","20000","0","0","0",,"0",0.00,0.00,0.00,,125000.00,"321","0",,0.00000000000,0.00000000000,,,,,,"56","56"
CHIKUSE,DEDZA,DISPENSARY/MATERNITY,,PA NJASE,,"45.6",42min,34.319444,-14.150000,14 09 00 - 34 19,"10",1998/05/01,DIRT - POOR,"6","30","1988",MOH,MOH,"27000","9715","0","0","1",,"0",0.00,0.00,0.00,,0.00,"322","0",,0.00000000000,0.00000000000,,,,,,"57","57"
CHIMOTO,DEDZA,DISPENSARY/MATERNITY,,BOX 8 CHIMOTO,,"59.6",1hr 10min,34.008333,-14.445833,14 26 45 - 34 00,"10",1998/04/30,TAR/DIRT - POOR,"20","85","1982",MARIE STOPES INTER,MOH,"10000","16518","279","0","0",,"0",0.00,0.00,0.00,,0.00,"323","0",,0.00000000000,0.00000000000,,,,,,"58","58"
CHITHANDIZO,DEDZA,DISPENSARY,,BOX 47 LOBI,,"57",1hr 5min,34.080556,-14.258333,14 15 30 - 34 04,,1998/05/02,TAR/DIRT - POOR,"0","0","1998",PRIVATE,PVT,"0","0","0","0","0",,"0",0.00,0.00,0.00,,0.00,"324","0",,0.00000000000,0.00000000000,,,,,,"59","59"
CHITOWO,DEDZA,DISPENSARY/MATERNITY,,BOX 78 LINTHIPE,,"43.6",43min,34.028611,-14.226111,14 13 34 - 34 01,,1998/05/02,TAR/DIRT - POOR,"6","0","1983",,MOH,"41065","0","0","0","1",,"0",0.00,0.00,0.00,,0.00,"325","0",,0.00000000000,0.00000000000,,,,,,"60","60"
CHIPHWAYA ST JOSEPHS,DEDZA,PRIMARY HEALTH CENTRE,,BOX 140 MAYANI,,"88.5",2hr 8min,34.258333,-14.075000,14 04 30 - 34 15,,1998/05/01,DIRT - POOR,"34","11",,CATHOLIC CHURCH,CHAM,"0","7500","672","0","0",,"0",0.00,0.00,0.00,,144000.00,"326","0",,0.00000000000,0.00000000000,,,,,,"61","61"
CHONGONI,DEDZA,DISPENSARY,220275 X15,PVT BAG 6 DEDZA,,"16.9",23min,34.260833,-14.313611,14 18 49 - 34 15,,1998/05/02,TAR/DIRT - POOR,"0","0",,FORESTRY,FORESTRY,"15000","0","0","0","0",,"0",0.00,0.00,0.00,,0.00,"327","0",,0.00000000000,0.00000000000,,,,,,"62","62"
DZINDEBVU,DEDZA,DISPENSARY/MATERNITY,,BOX 136 DEDZA,,"26.2",49min,34.347222,-14.190278,14 11 25 - 34 20,,1998/05/01,DIRT - POOR,"6","0","1992",,MOH/LG,"17600","0","420","0","1",,"0",0.00,0.00,0.00,,0.00,"329","0",,0.00000000000,0.00000000000,,,,,,"63","63"
KAFIRE,DEDZA,DISPENSARY/MATERNITY,,BOX 21 NAMAKASU,,"93.4",1hr 45min,33.725000,-14.441667,14 26 30 - 33 43,,1998/04/30,TAR/DIRT - FAIR,"4","25","1985",,MOH,"7500","13419","199","0","1",,"0",0.00,0.00,0.00,,0.00,"330","0",,0.00000000000,0.00000000000,,,,,,"64","64"
KAGWIRA,DEDZA,DISPENSARY,"220377",BOX 56 DEDZA,,"1",2min,34.329167,-14.375000,14 22 30 - 34 19,,1998/04/27,TAR - POOR,"0","0","1997",PRIVATE,PVT,"0","3650","0","0","0",,"0",0.00,0.00,0.00,,0.00,"331","0",,0.00000000000,0.00000000000,,,,,,"65","65"
KALULU,DEDZA,DISPENSARY/MATERNITY,,BOX 141 MAYANI,,"79.4",1hr 48min,34.174167,-14.028333,14 01 42 - 34 10,"24",1998/05/01,TAR/DIRT - POOR,"9","30","1994",,MOH,"11632","16320","0","0","1",,"0",0.00,0.00,0.00,,0.00,"332","0",,0.00000000000,0.00000000000,,,,,,"66","66"
KANYAMA,DEDZA,DISPENSARY/MATERNITY,,BOX 80 DEDZA,,"33",43min,34.279167,-13.891667,13 53 30 - 34 16,,1998/05/01,DIRT - POOR,"12","30",,CATHOLIC CHURCH,CHAM,"16000","0","500","0","0",,"0",0.00,0.00,0.00,,120000.00,"333","0",,0.00000000000,0.00000000000,,,,,,"67","67"
KANYEZI,DEDZA,DISPENSARY/MATERNITY,,PA KATEWE,,"53",1hr 5min,33.954167,-14.312500,14 18 45 - 33 57,"10",1998/05/02,TAR/DIRT - POOR,"3","100",,,MOH/LG,"15911","0","0","0","1",,"0",0.00,0.00,0.00,,0.00,"334","0",,0.00000000000,0.00000000000,,,,,,"68","68"
KAPHUKA,DEDZA,PRIMARY HEALTH CENTRE,"723508",BOX 24 LINTHIPE,,"67.9",1hr 10min,34.148611,-14.212500,14 12 45 - 34 08,"20",1998/05/02,TAR/DIRT - POOR,"19","31","1992",,MOH,"22128","24000","360","0","1",,"0",0.00,0.00,0.00,,0.00,"335","0",,0.00000000000,0.00000000000,,,,,,"69","69"
KASINA,DEDZA,PRIMARY HEALTH CENTRE,,BOX 15 LINTHIPE,,"46.9",36min,34.118056,-14.135278,14 08 07 - 34 07,,1998/05/01,TAR/DIRT - POOR,"27","18",,CATHOLIC CHURCH,CHAM,"0","10000","595","0","0",,"0",0.00,0.00,0.00,,192000.00,"336","0",,0.00000000000,0.00000000000,,,,,,"70","70"
LOBI,DEDZA,DISPENSARY/MATERNITY,,BOX 41 LOBI,,"54.3",1hr 4min,34.075000,-14.387500,14 23 15 - 34 04,"10",1998/04/30,TAR/DIRT - POOR,"9","30","1994",MOH,MOH,"13049","0","324","0","1",,"0",0.00,0.00,0.00,,0.00,"337","0",,0.00000000000,0.00000000000,,,,,,"71","71"
MATUMBA,DEDZA,DISPENSARY/MATERNITY,,BOX 44 CHIMIMBE,,"78.5",1hr 43min,33.904167,-14.370833,14 22 15 - 33 54,"26",1998/04/30,TAR/DIRT - POOR,"18","0","1972",CSC EXT BY WORLD VIS,CHAM,"50000","9125","342","0","0",,"0",0.00,0.00,0.00,,84000.00,"338","0",,0.00000000000,0.00000000000,,,,,,"72","72"
MAONDE,DEDZA,DISPENSARY/MATERNITY,,PO MAONDE,,"50.2",53min,34.125000,-14.408333,14 24 30 - 34 07,"6",1998/04/30,TAR/DIRT - POOR,"6","0","1983",MOH,MOH/LG,"13764","24000","0","0","1",,"0",0.00,0.00,0.00,,25000.00,"339","0",,0.00000000000,0.00000000000,,,,,,"73","73"
